שם  הרשות,סמל הרשות,מחוז ,מעמד מוניציפלי,"סה""כ אוכלוסייה בסוף השנה (אלפים)",בני 4-0,בני 9-5,בני 14-10,בני 19-15,בני 29-20,בני 44-30,בני 59-45,בני 64-60,בני 65 ומעלה,בני 17-0,בני 75 ומעלה,"סה""כ תלמידים",בבתי ספר יסודיים (כולל חינוך מיוחד),בבתי ספר על-יסודיים,בחטיבות ביניים,בבתי ספר תיכוניים
מגילות ים המלח,74,אזור יהודה והשומרון,מועצה אזורית,1.6,12.5,12.5,9.8,8.7,12.0,23.4,15.1,4.1,1.9,39.2,0.3,229,194,35,0,35
מטה אשר,04,הצפון,מועצה אזורית,28.7,9.1,10.0,9.1,7.8,11.4,20.8,15.7,4.3,11.9,33.1,4.7,"6,628","3,758","2,870","1,333","1,537"
מטה בנימין,73,אזור יהודה והשומרון,מועצה אזורית,65.4,14.8,14.8,12.7,9.7,14.5,17.2,11.0,2.1,3.3,48.1,0.9,"15,116","11,628","3,488",855,"2,633"
מטה יהודה,26,ירושלים,מועצה אזורית,56.6,10.1,10.6,9.4,8.6,12.3,20.3,15.6,3.8,9.3,35.4,4.0,"8,823","5,564","3,259","1,660","1,599"
מנשה,14,חיפה,מועצה אזורית,19.8,8.5,10.3,9.5,10.6,11.1,20.0,16.5,4.1,9.2,35.2,3.3,"5,563","2,369","3,194","1,232","1,962"
מעלה יוסף,52,הצפון,מועצה אזורית,10.5,9.4,9.0,8.9,7.2,13.5,19.2,18.7,5.2,8.9,31.7,3.3,"1,614",518,"1,096",596,500
מרום הגליל,02,הצפון,מועצה אזורית,15.4,9.9,9.5,8.9,9.1,15.8,19.6,15.6,4.3,7.3,34.0,2.3,"1,870","1,423",447,0,447
מרחבים,42,הדרום,מועצה אזורית,13.7,11.7,12.0,10.6,9.1,12.7,20.1,13.8,3.5,6.5,40.3,2.5,"4,468","2,091","2,377","1,082","1,295"
משגב,56,הצפון,מועצה אזורית,28.0,8.7,10.9,10.7,10.2,14.0,18.1,18.2,3.8,5.4,36.6,1.2,"6,382","3,661","2,721","1,345","1,376"
נווה מדבר,68,הדרום,מועצה אזורית,9.1,19.1,14.8,12.7,11.8,15.6,15.1,7.7,1.2,1.9,53.9,0.8,"8,091","6,170","1,921",0,"1,921"
נחל שורק,31,המרכז,מועצה אזורית,9.2,14.2,15.0,13.9,11.6,13.4,16.6,9.1,1.8,4.3,49.8,1.3,"3,526","2,221","1,305",564,741
עמק הירדן,06,הצפון,מועצה אזורית,13.5,8.8,8.3,7.0,6.0,14.1,19.7,14.6,4.9,16.6,27.8,6.9,"2,934","1,946",988,0,988
עמק המעיינות,07,הצפון,מועצה אזורית,13.1,10.6,10.3,8.0,7.9,13.7,19.0,13.2,4.4,12.8,32.8,5.1,"3,174","1,790","1,384",647,737
עמק חפר,16,המרכז,מועצה אזורית,42.2,7.9,9.5,9.5,9.9,11.0,18.7,17.5,3.9,12.3,33.0,5.2,"10,446","4,825","5,621","2,273","3,348"
עמק יזרעאל,09,הצפון,מועצה אזורית,38.0,8.9,10.4,9.9,8.4,12.0,18.6,17.4,4.5,9.9,34.5,3.8,"9,380","5,080","4,300","1,843","2,457"
עמק לוד,40,המרכז,מועצה אזורית,15.0,13.7,12.5,10.4,7.5,13.8,18.1,11.8,3.3,9.0,41.0,3.8,"3,624","2,305","1,319",335,984
ערבות הירדן,75,אזור יהודה והשומרון,מועצה אזורית,4.9,14.5,14.3,10.4,5.9,11.2,22.9,9.2,4.7,6.9,42.2,0.6,581,468,113,0,113
רמת נגב,48,הדרום,מועצה אזורית,7.6,11.6,11.2,8.4,10.8,12.9,23.9,12.5,2.9,5.7,37.5,2.3,"1,446","1,037",409,0,409
שדות נגב,39,הדרום,מועצה אזורית,10.3,11.2,11.8,11.7,9.5,14.0,17.5,13.5,3.2,7.6,40.9,3.5,"2,755","1,737","1,018",553,465
שומרון,72,אזור יהודה והשומרון,מועצה אזורית,41.1,16.8,16.1,11.5,6.2,12.6,20.7,10.0,2.1,3.9,48.2,1.0,"6,796","5,984",812,340,472
שער הנגב,37,הדרום,מועצה אזורית,8.0,9.5,9.4,7.6,5.8,13.3,22.9,14.4,3.7,13.4,30.0,6.8,"2,110",807,"1,303",701,602
שפיר,34,הדרום,מועצה אזורית,11.0,11.0,11.7,10.3,13.0,13.3,16.4,12.5,3.8,8.1,41.0,3.1,"2,706","1,453","1,253",503,750
תמר,51,הדרום,מועצה אזורית,1.5,7.2,8.2,6.8,10.8,12.9,18.8,15.2,5.5,14.6,26.2,3.4,303,91,212,102,110
